t,deficit_pctPIB
1991,0.97271395479048
1992,-0.767415802810252
1993,0.15046838974748
1994,4.45989304877767
1995,2.15591133434805
1996,2.86759557635043
1997,1.86833933363813
1998,1.24110167321986
1999,1.56642504087709
2000,1.39657001798446
2001,1.24455554530956
2002,3.46067826263132
2003,1.62078320427097
2004,1.32550151483328
2005,0.791752367453006
2006,-1.13642526010615
2007,-1.69924117087177
2008,0.759933848643122
2009,3.21089672616983
2010,4.17392534816753
2011,3.35297573280484
2012,3.87398423538507
2013,4.34931851938345
2014,5.67141755673442
2015,5.522231
2016,5.098612
2017,5.884936
2018,5.660218
2019,2.31421171307771
2020,5.31725188367162
2021,2.75154715730258
2022,0.0510042614317155
2023,-0.433935841516683
2024,0.506206918366339
